feature,mean_importance
NBSIN_TYPE2_AN2,-0.00325125131092987
NBSIN_TYPE1_AN3,-0.0009327829074545768
NBSIN_TYPE2_AN1,-0.0004276235169090148
NBSIN_TYPE2_AN3,-0.00038859903829135956
FORMULE,-2.1267922911216707e-05
VALEUR_DES_BIENS,1.1170808716265412e-05
NBSIN_TYPE1_AN1,0.00029016700461821366
EXPO,0.0006479881109696884
NIVEAU_JURIDIQUE,0.00227552865654721
TYPE_RESIDENCE,0.0030580442822422784
ZONIER,0.0031894812485581347
NB_PIECES,0.003996450339729463
OBJETS_DE_VALEUR,0.005157381201440625
ANNEE,0.005499086049348412
SITUATION_JURIDIQUE,0.00592507828246156
TYPE_HABITATION,0.021711409227549373
