feature,mean_importance
NBSIN_TYPE1_AN3,-0.009806413519041235
NB_PIECES,-0.006646547589344132
OBJETS_DE_VALEUR,-0.004828982606797627
ZONIER,-0.00399829896449857
NBSIN_TYPE1_AN1,-0.00290195940607898
EXPO,-0.0019617861719473328
ANNEE,-0.001165490606969688
SITUATION_JURIDIQUE,-0.00112242148071231
NBSIN_TYPE2_AN2,-0.0006331180273366543
NBSIN_TYPE2_AN1,-0.0005735640181447899
NBSIN_TYPE2_AN3,-0.00029551850372739886
TYPE_RESIDENCE,-2.4951868712430603e-05
VALEUR_DES_BIENS,0.00038741616023898475
FORMULE,0.0007275593934129576
NIVEAU_JURIDIQUE,0.0020232259092912265
TYPE_HABITATION,0.007036190357610694
