feature,shap_importance
TYPE_HABITATION,0.13714958727359772
ZONIER,0.09322008490562439
NB_PIECES,0.03879391402006149
EXPO,0.03862397372722626
VALEUR_DES_BIENS,0.0380764864385128
ANNEE,0.02188839018344879
OBJETS_DE_VALEUR,0.02175733633339405
SITUATION_JURIDIQUE,0.019376080483198166
FORMULE,0.018226994201540947
NBSIN_TYPE1_AN3,0.013326629996299744
NIVEAU_JURIDIQUE,0.009121507406234741
NBSIN_TYPE1_AN1,0.008085870184004307
NBSIN_TYPE2_AN2,0.006472152657806873
TYPE_RESIDENCE,0.005591630935668945
NBSIN_TYPE2_AN1,0.004903633147478104
NBSIN_TYPE2_AN3,0.0037144524976611137
