feature,mean_importance
ZONIER,-0.008428984295232533
NB_PIECES,-0.003853957355287063
NBSIN_TYPE1_AN1,-0.002737897470563677
SITUATION_JURIDIQUE,-0.002602783116331109
FORMULE,-0.0018760625736597759
EXPO,-0.0014421872469647656
NBSIN_TYPE2_AN1,-0.001423258974969932
NBSIN_TYPE2_AN2,-0.0013500743435899353
TYPE_RESIDENCE,-0.00038206913234515303
OBJETS_DE_VALEUR,-0.00011358978216984284
NBSIN_TYPE2_AN3,0.0002589669166659592
ANNEE,0.0007112158114437328
VALEUR_DES_BIENS,0.0009901730931874298
NBSIN_TYPE1_AN3,0.0017073603412209426
NIVEAU_JURIDIQUE,0.002197825635816897
TYPE_HABITATION,0.002878751810634417
