feature,mean_importance
EXPO,-0.0020314768941832374
NBSIN_TYPE1_AN3,-0.001520716983692294
FORMULE,-0.0013208781084163234
NB_PIECES,-0.0010700598362350711
NBSIN_TYPE2_AN1,-0.0005272825836541761
TYPE_RESIDENCE,-0.0004882695151392058
VALEUR_DES_BIENS,-0.0002566661507433121
NBSIN_TYPE2_AN3,0.00010594298935171498
ANNEE,0.00016580598762354625
OBJETS_DE_VALEUR,0.00025291760152668097
NBSIN_TYPE2_AN2,0.00030676540050993405
SITUATION_JURIDIQUE,0.0003820782138093559
NBSIN_TYPE1_AN1,0.0003902408372853161
NIVEAU_JURIDIQUE,0.0022654610646501315
ZONIER,0.0032078699527031906
TYPE_HABITATION,0.018304208265779654
