feature,shap_importance
TYPE_HABITATION,0.1396829090771967
ZONIER,0.06384869085269665
EXPO,0.017564983484486565
NB_PIECES,0.016553571378380195
VALEUR_DES_BIENS,0.007709700313959169
SITUATION_JURIDIQUE,0.007605552827230734
NIVEAU_JURIDIQUE,0.004747442850296945
OBJETS_DE_VALEUR,0.00404140309676297
ANNEE,0.003498011483967115
NBSIN_TYPE1_AN3,0.0029221002390390403
NBSIN_TYPE2_AN1,0.0028273142730889885
FORMULE,0.0022566332009962306
NBSIN_TYPE2_AN2,0.001869874097936322
TYPE_RESIDENCE,0.0015594071244875995
NBSIN_TYPE1_AN1,0.0010677442849019332
NBSIN_TYPE2_AN3,0.0006054353700555471
