feature,mean_importance
TYPE_HABITATION,-2.8242126476016317e-05
ANNEE,-1.5711835498022352e-05
NIVEAU_JURIDIQUE,-1.3487638777817667e-05
NBSIN_TYPE2_AN3,-8.313395514877864e-06
NBSIN_TYPE2_AN1,-4.3057875589253e-06
NBSIN_TYPE2_AN2,8.381968604206924e-06
OBJETS_DE_VALEUR,2.6016140921278352e-05
SITUATION_JURIDIQUE,0.00012580240359570948
NBSIN_TYPE1_AN1,0.00012751658520421816
FORMULE,0.00020068971587912376
NBSIN_TYPE1_AN3,0.0002049635544204953
NB_PIECES,0.00028719607731328976
TYPE_RESIDENCE,0.0008362738702781619
VALEUR_DES_BIENS,0.001858802780895233
EXPO,0.002400986561575999
ZONIER,0.0031844017660861506
