feature,shap_importance
ZONIER,0.3811796009540558
EXPO,0.2730747163295746
VALEUR_DES_BIENS,0.23210230469703674
NB_PIECES,0.17139659821987152
TYPE_RESIDENCE,0.16911987960338593
FORMULE,0.10039104521274567
ANNEE,0.06262915581464767
NBSIN_TYPE1_AN1,0.053536396473646164
SITUATION_JURIDIQUE,0.03622012212872505
NBSIN_TYPE1_AN3,0.031320441514253616
TYPE_HABITATION,0.026168785989284515
OBJETS_DE_VALEUR,0.013419548980891705
NIVEAU_JURIDIQUE,0.007466468028724194
NBSIN_TYPE2_AN1,0.00404100026935339
NBSIN_TYPE2_AN3,0.003655795706436038
NBSIN_TYPE2_AN2,0.0022875037975609303
