feature,mean_importance
NBSIN_TYPE2_AN2,-0.00017119029915110273
NBSIN_TYPE1_AN3,-0.00011175464934021773
ANNEE,-4.939338275872784e-05
NBSIN_TYPE2_AN3,-4.39808270717712e-05
NBSIN_TYPE2_AN1,-2.406286044519812e-05
FORMULE,2.0706283692120686e-05
SITUATION_JURIDIQUE,7.474135235605028e-05
TYPE_RESIDENCE,8.407644745574428e-05
NIVEAU_JURIDIQUE,8.953931749050292e-05
NBSIN_TYPE1_AN1,0.00019040145898082672
NB_PIECES,0.00021799054696227115
OBJETS_DE_VALEUR,0.00043120617744398795
ZONIER,0.0007479057090383795
VALEUR_DES_BIENS,0.0007742633814351307
TYPE_HABITATION,0.0008084964909767872
EXPO,0.0022243379552068926
