feature,mean_importance
TYPE_HABITATION,-1.5312395573729987e-08
NBSIN_TYPE2_AN2,0.0
NBSIN_TYPE2_AN3,0.0
SITUATION_JURIDIQUE,1.7553799447345142e-07
ANNEE,2.0094461606917637e-06
NBSIN_TYPE2_AN1,4.3251682174200164e-06
FORMULE,4.454989955313127e-06
OBJETS_DE_VALEUR,4.483558857432124e-06
NIVEAU_JURIDIQUE,1.5592067695827106e-05
TYPE_RESIDENCE,3.9283807943735206e-05
NBSIN_TYPE1_AN3,9.51110494155083e-05
NB_PIECES,0.000163135142580087
NBSIN_TYPE1_AN1,0.00021663287737337943
EXPO,0.0016280600230031196
VALEUR_DES_BIENS,0.0017806644190103277
ZONIER,0.0022833151011897508
