feature,shap_importance
ZONIER,0.004959258899792659
VALEUR_DES_BIENS,0.004523296069208262
EXPO,0.0023909630053080937
NB_PIECES,0.0009750272433450825
NBSIN_TYPE1_AN1,0.0009510961372012649
TYPE_RESIDENCE,0.0002841810890534025
NBSIN_TYPE1_AN3,0.00021148312993461355
OBJETS_DE_VALEUR,5.871330151781389e-05
SITUATION_JURIDIQUE,4.9740298301916156e-05
FORMULE,2.8004569936969806e-05
NIVEAU_JURIDIQUE,2.4357640612963586e-05
NBSIN_TYPE2_AN1,1.3687464292587332e-05
ANNEE,9.149059329603576e-06
TYPE_HABITATION,1.002179766962599e-06
NBSIN_TYPE2_AN2,0.0
NBSIN_TYPE2_AN3,0.0
